,CONT_ID,GENDER,AGE_YEARS,HIGHEST_EDU,ANNUAL_INVEST,ANNUAL_INCOME,ACTIVITY_LEVEL,CHURN
33,1009548750,1,74.84,1,0.0,17063.0,2,0
34,1009548760,1,44.55,4,13228.0,70761.0,2,0
35,1009548770,0,36.66,4,0.0,17060.0,5,0
36,1009548780,1,61.28,1,0.0,20069.0,3,0
37,1009548790,1,44.16,4,0.0,13429.0,3,0
38,1009548800,1,64.15,1,0.0,14685.0,1,0
39,1009548810,0,43.9,4,5997.0,63466.0,3,0
40,1009548820,0,38.55,4,0.0,17275.0,0,1
41,1009548830,0,67.07,1,0.0,14197.0,5,0
42,1009548840,1,68.05,4,7881.0,29757.0,5,0
43,1009548850,0,24.55,1,0.0,20498.0,1,0
44,1009548860,0,29.92,1,0.0,13394.0,3,1
45,1009548870,0,42.57,4,11505.0,54098.0,1,1
46,1009548880,1,58.3,1,0.0,17926.0,4,0
47,1009548890,0,53.48,1,0.0,16042.0,1,0
48,1009548900,0,41.48,1,0.0,13919.0,1,1
49,1009548910,0,47.57,1,0.0,13919.0,1,0
50,1009548920,0,36.37,1,0.0,18131.0,3,0
51,1009548930,1,39.22,1,0.0,16968.0,2,1
52,1009548940,1,32.73,1,0.0,21679.0,2,1
53,1009548950,0,69.51,1,0.0,17210.0,2,0
54,1009548960,1,32.76,4,8607.0,40430.0,5,0
55,1009548970,1,53.9,2,109814.0,122884.0,2,0
56,1009548980,1,33.71,1,0.0,13354.0,2,0
57,1009548990,0,77.66,1,0.0,23696.0,5,0
58,1009549000,1,67.17,2,13100.0,45470.0,4,0
59,1009549010,0,47.77,1,0.0,21869.0,2,0
60,1009549020,1,45.17,4,0.0,20899.0,1,0
61,1009549030,0,24.02,2,13309.0,47492.0,2,0
62,1009549040,0,39.7,2,6666.0,22544.0,2,0
63,1009549050,1,58.37,1,0.0,14584.0,2,0
64,1009549060,0,36.66,4,0.0,20479.0,5,0
65,1009549070,1,33.48,1,0.0,20479.0,5,0
66,1009549080,1,51.3,1,0.0,15802.0,2,0
67,1009549090,0,76.98,3,86948.0,105857.0,5,0
68,1009549100,0,55.33,2,7628.0,41177.0,0,0
69,1009549110,0,33.55,3,71166.0,144920.0,1,1
70,1009549120,0,57.02,4,0.0,22003.0,1,1
71,1009549130,1,87.95,1,0.0,17343.0,2,0
72,1009549140,0,51.77,4,0.0,13995.0,3,0
73,1009549150,1,32.43,3,111544.0,127161.0,0,1
74,1009549160,0,42.46,1,0.0,15221.0,0,1
75,1009549170,0,44.09,4,0.0,14295.0,5,0
76,1009549180,1,31.71,2,11079.0,27618.0,1,1
77,1009549190,1,71.02,1,0.0,21680.0,2,0
78,1009549200,1,45.66,4,0.0,19368.0,1,1
79,1009549210,1,40.65,1,0.0,15327.0,1,1
80,1009549220,1,33.61,1,0.0,13437.0,1,1
81,1009549230,0,75.84,2,8513.0,27085.0,4,1
82,1009549240,1,78.57,1,0.0,16481.0,2,0
83,1009549250,0,84.74,1,0.0,15558.0,2,0
84,1009549260,0,35.89,2,13034.0,39325.0,2,0
85,1009549270,1,31.56,4,0.0,15933.0,1,1
86,1009549280,0,26.63,1,0.0,32655.0,3,1
87,1009549290,0,42.04,3,91573.0,211756.0,1,0
88,1009549300,0,37.89,2,14648.0,24920.0,5,0
89,1009549310,0,68.53,1,0.0,27715.0,1,0
90,1009549320,1,41.28,1,0.0,18163.0,2,0
91,1009549330,0,56.44,1,0.0,16719.0,0,0
92,1009549340,1,35.34,4,0.0,15952.0,1,1
93,1009549350,1,48.04,2,94475.0,97417.0,2,0
94,1009549360,0,70.34,1,0.0,20170.0,3,0
95,1009549370,1,73.0,2,113029.0,198514.0,3,0
96,1009549380,0,54.3,4,8193.0,46271.0,2,0
97,1009549390,0,71.89,1,0.0,14884.0,5,0
98,1009549400,0,26.03,4,0.0,20071.0,2,0
99,1009549410,1,43.01,4,0.0,33180.0,3,0
100,1009549420,0,72.62,4,0.0,17642.0,2,0
101,1009549430,1,68.23,1,0.0,22320.0,2,0
102,1009549440,1,60.51,1,0.0,18591.0,1,0
103,1009549450,1,67.22,1,0.0,27740.0,3,1
104,1009549460,0,39.04,1,0.0,20034.0,0,0
105,1009549470,1,77.62,4,0.0,21485.0,3,0
106,1009549480,0,78.08,4,8151.0,27476.0,3,0
107,1009549490,0,57.21,4,0.0,17053.0,1,0
108,1009549500,0,70.87,2,9346.0,72082.0,5,0
109,1009549510,1,86.43,1,0.0,16972.0,4,0
110,1009549520,0,20.94,1,0.0,20161.0,3,0
111,1009549530,0,31.31,1,0.0,19367.0,1,1
112,1009549540,0,27.35,2,86850.0,84516.0,3,0
113,1009549550,1,47.92,1,0.0,18166.0,5,0
114,1009549560,0,48.05,4,0.0,32113.0,2,0
115,1009549570,1,48.3,1,0.0,21154.0,1,0
116,1009549580,1,67.0,1,0.0,16377.0,2,0
117,1009549590,1,88.82,1,0.0,21926.0,0,0
118,1009549600,1,45.03,2,91023.0,78040.0,3,0
119,1009549610,0,48.83,4,7299.0,75481.0,4,0
120,1009549620,0,56.11,3,73773.0,69571.0,2,0
121,1009549630,1,68.74,1,0.0,22304.0,2,0
122,1009549640,0,60.11,4,0.0,15428.0,1,0
123,1009549650,1,33.33,1,0.0,17359.0,2,0
124,1009549660,0,27.48,3,93708.0,77537.0,2,1
125,1009549670,0,47.12,1,0.0,13960.0,2,0
126,1009549680,0,33.8,1,0.0,13997.0,3,0
127,1009549690,1,68.94,1,0.0,14417.0,3,0
128,1009549700,0,44.94,2,8234.0,32684.0,1,0
129,1009549710,1,35.93,4,10524.0,32684.0,1,0
130,1009549720,1,26.4,1,0.0,15480.0,3,0
131,1009549730,1,27.68,1,0.0,20523.0,5,0
132,1009549740,0,45.66,4,0.0,18924.0,1,1
133,1009549750,0,51.97,1,0.0,17365.0,1,0
134,1009549760,0,35.51,4,0.0,20497.0,4,0
135,1009549770,1,37.79,4,0.0,16319.0,1,0
136,1009549780,0,52.39,4,0.0,22718.0,1,0
137,1009549790,1,37.78,1,0.0,16605.0,2,0
138,1009549800,1,42.73,1,0.0,18816.0,3,0
139,1009549810,0,44.77,3,91049.0,92902.0,3,1
140,1009549820,1,63.73,1,0.0,15608.0,1,0
141,1009549830,1,41.43,4,5663.0,49347.0,5,0
142,1009549840,1,25.98,1,0.0,22487.0,1,1
143,1009549850,0,27.37,1,0.0,15254.0,2,0
144,1009549860,1,50.6,4,0.0,21705.0,4,0
145,1009549870,0,51.39,3,101125.0,91265.0,3,0
146,1009549880,0,54.23,2,11593.0,20086.0,2,0
147,1009549890,1,46.77,1,0.0,13459.0,3,0
148,1009549900,1,20.64,4,0.0,14103.0,2,1
149,1009549910,0,87.33,1,0.0,21999.0,1,0
150,1009549920,1,40.01,4,8110.0,38004.0,0,1
151,1009549930,0,50.46,4,0.0,17357.0,3,0
152,1009549940,1,46.11,1,0.0,22788.0,0,1
153,1009549950,0,69.12,1,0.0,19726.0,4,0
154,1009549960,1,47.82,1,0.0,16476.0,5,1
155,1009549970,0,66.47,1,0.0,33732.0,2,1
156,1009549980,1,68.53,2,12119.0,28034.0,1,0
157,1009549990,0,48.31,1,0.0,20406.0,1,0
158,1009550000,1,56.46,1,0.0,19204.0,3,1
159,1009550010,0,56.11,1,0.0,16880.0,2,0
160,1009550020,0,59.53,1,0.0,17597.0,3,0
161,1009550030,0,56.86,1,0.0,22753.0,2,0
162,1009550040,1,54.54,2,7062.0,53328.0,0,1
163,1009550050,1,59.27,1,0.0,16708.0,0,0
164,1009550060,1,48.97,1,0.0,15211.0,2,1
165,1009550070,0,33.84,4,0.0,19388.0,0,1
166,1009550080,1,72.71,1,0.0,19699.0,2,0
167,1009550090,0,59.97,1,0.0,21259.0,4,0
168,1009550100,0,33.52,1,0.0,13790.0,3,1
169,1009550110,1,44.62,1,0.0,19191.0,4,0
170,1009550120,0,74.27,2,85072.0,224141.0,1,1
171,1009550130,0,70.0,1,0.0,15811.0,4,0
172,1009550140,0,33.17,2,98169.0,178109.0,1,1
173,1009550150,0,55.83,4,0.0,32220.0,3,0
174,1009550160,1,33.48,3,106164.0,161436.0,3,0
175,1009550170,0,63.14,4,0.0,21483.0,3,0
176,1009550180,1,30.56,1,0.0,21483.0,2,0
177,1009550190,1,45.92,4,0.0,18809.0,2,0
178,1009550200,1,41.91,1,0.0,21018.0,4,0
179,1009550210,0,72.21,4,0.0,17325.0,0,0
180,1009550220,1,82.64,4,0.0,18825.0,3,0
181,1009550230,0,34.4,4,0.0,14581.0,5,0
182,1009550240,1,64.58,4,0.0,16524.0,5,0
183,1009550250,0,71.49,2,82040.0,147074.0,2,0
184,1009550260,0,66.28,2,72924.0,68375.0,4,0
185,1009550270,1,44.84,1,0.0,16882.0,2,1
186,1009550280,1,39.19,1,0.0,18509.0,3,0
187,1009550290,1,43.14,4,10415.0,77103.0,2,0
188,1009550300,0,40.34,1,0.0,26738.0,1,0
189,1009550310,0,48.18,1,0.0,21458.0,0,0
190,1009550320,1,28.49,4,0.0,17194.0,1,1
191,1009550330,1,71.58,1,0.0,31264.0,0,1
192,1009550340,1,33.81,1,0.0,13193.0,0,1
193,1009550350,1,31.02,4,12843.0,35682.0,1,1
194,1009550360,1,20.3,1,0.0,17088.0,0,1
195,1009550370,1,50.83,2,104866.0,134128.0,3,0
196,1009550380,1,42.4,1,0.0,19335.0,5,0
197,1009550390,0,53.41,1,0.0,20308.0,4,1
198,1009550400,0,74.09,3,96792.0,199469.0,5,0
199,1009550410,0,68.37,4,0.0,19536.0,2,1
200,1009550420,0,81.32,4,0.0,20672.0,0,0
201,1009550430,0,33.24,4,12647.0,24494.0,2,0
202,1009550440,1,81.84,3,116791.0,218143.0,4,0
203,1009550450,1,42.01,1,0.0,19281.0,3,0
204,1009550460,0,26.46,4,0.0,36018.0,0,1
205,1009550470,1,46.74,1,0.0,33426.0,0,1
206,1009550480,1,37.53,1,0.0,18491.0,2,0
207,1009550490,1,84.94,1,0.0,20152.0,5,0
208,1009550500,1,27.46,2,117944.0,132267.0,1,1
209,1009550510,1,34.03,1,0.0,23403.0,5,0
210,1009550520,1,49.65,4,0.0,13865.0,0,1
211,1009550530,0,37.85,1,0.0,30804.0,1,1
212,1009550540,0,76.35,1,0.0,22667.0,5,0
213,1009550550,1,51.79,1,0.0,31944.0,1,0
214,1009550560,1,28.36,1,0.0,16109.0,2,0
215,1009550570,0,57.0,1,0.0,34437.0,2,1
216,1009550580,1,58.71,1,0.0,19830.0,1,0
217,1009550590,1,22.27,2,78200.0,95542.0,2,1
218,1009550600,0,24.96,4,0.0,17222.0,4,0
219,1009550610,1,43.97,4,0.0,14919.0,2,0
220,1009550620,1,43.83,4,5393.0,56864.0,0,1
221,1009550630,0,52.49,4,0.0,21431.0,1,0
222,1009550640,0,32.96,1,0.0,20632.0,3,0
223,1009550650,0,48.73,1,0.0,19826.0,1,1
224,1009550660,1,30.95,2,98503.0,184709.0,5,0
225,1009550670,1,52.1,4,5783.0,52502.0,2,0
226,1009550680,0,22.55,1,0.0,36744.0,5,0
227,1009550690,1,72.19,4,0.0,21177.0,2,0
228,1009550700,1,59.5,1,0.0,13924.0,1,0
229,1009550710,0,32.63,1,0.0,22859.0,1,1
230,1009550720,1,77.42,1,0.0,16113.0,1,0
231,1009550730,0,53.88,4,0.0,17228.0,2,0
232,1009550740,1,81.94,1,0.0,22233.0,2,1
233,1009550750,1,40.77,4,0.0,14147.0,2,0
234,1009550760,1,69.1,1,0.0,19019.0,4,0
235,1009550770,1,66.23,1,0.0,21822.0,2,0
236,1009550780,1,43.92,1,0.0,16241.0,3,1
237,1009550790,1,24.01,1,0.0,21742.0,2,1
238,1009550800,1,57.7,1,0.0,19739.0,2,0
239,1009550810,0,47.77,4,0.0,20360.0,3,0
240,1009550820,1,36.14,1,0.0,14075.0,1,1
241,1009550830,1,42.95,4,0.0,14934.0,2,0
242,1009550840,1,43.88,1,0.0,14122.0,4,0
243,1009550850,0,32.86,1,0.0,13010.0,1,1
244,1009550860,0,60.44,1,0.0,21161.0,1,0
245,1009550870,0,63.18,4,0.0,20602.0,2,0
246,1009550880,0,37.39,1,0.0,14568.0,1,1
247,1009550890,0,56.77,1,0.0,16000.0,5,0
248,1009550900,0,38.31,1,0.0,16174.0,2,0
249,1009550910,1,68.72,4,6409.0,43960.0,3,0
250,1009550920,1,44.31,1,0.0,17696.0,1,0
251,1009550930,0,42.26,4,0.0,13257.0,2,0
252,1009550940,1,44.87,4,0.0,20974.0,2,0
253,1009550950,0,21.16,4,7150.0,27159.0,4,0
254,1009550960,1,40.82,1,0.0,21450.0,1,1
255,1009550970,1,65.13,1,0.0,34278.0,1,1
256,1009550980,1,45.05,2,77831.0,131451.0,5,0
257,1009550990,0,20.24,4,8423.0,34906.0,2,1
258,1009551000,1,48.79,1,0.0,29631.0,2,0
259,1009551010,1,56.01,1,0.0,29677.0,4,0
260,1009551020,0,39.74,1,0.0,15824.0,5,0
261,1009551030,0,30.41,1,0.0,21319.0,4,0
262,1009551040,0,52.99,4,0.0,19834.0,2,0
263,1009551050,0,63.48,1,0.0,21580.0,2,0
264,1009551060,0,67.29,1,0.0,19061.0,5,0
265,1009551070,0,77.65,1,0.0,20621.0,1,0
266,1009551080,1,33.9,1,0.0,14144.0,3,0
267,1009551090,0,43.32,2,72749.0,153603.0,2,1
268,1009551100,1,56.04,4,0.0,13488.0,2,0
269,1009551110,0,30.21,1,0.0,15389.0,4,0
270,1009551120,1,71.58,1,0.0,20861.0,1,0
271,1009551130,0,73.74,1,0.0,22879.0,3,0
272,1009551140,1,43.31,4,11360.0,43193.0,2,0
273,1009551150,0,46.06,4,0.0,22846.0,1,0
274,1009551160,0,33.49,2,101525.0,146185.0,4,0
275,1009551170,0,41.63,1,0.0,21420.0,0,1
276,1009551180,0,33.31,1,0.0,21961.0,2,0
277,1009551190,1,30.1,1,0.0,22566.0,3,0
278,1009551200,0,27.48,1,0.0,27420.0,2,1
279,1009551210,1,42.47,1,0.0,35327.0,2,1
280,1009551220,1,54.93,4,0.0,18855.0,1,0
281,1009551230,0,56.54,2,119496.0,117386.0,1,0
282,1009551240,0,33.34,1,0.0,36818.0,5,0
283,1009551250,0,34.24,4,0.0,20278.0,1,1
284,1009551260,0,55.41,4,13947.0,77878.0,2,0
285,1009551270,0,45.69,1,0.0,20789.0,3,0
286,1009551280,1,61.77,1,0.0,15406.0,0,1
287,1009551290,0,69.57,1,0.0,17609.0,2,0
288,1009551300,0,54.76,3,72656.0,89440.0,4,0
289,1009551310,0,22.02,2,11118.0,43691.0,2,0
290,1009551320,0,66.57,1,0.0,17409.0,2,0
291,1009551330,0,28.87,1,0.0,16419.0,4,0
292,1009551340,0,49.47,1,0.0,15423.0,2,0
293,1009551350,1,63.98,4,0.0,20374.0,3,0
294,1009551360,1,60.96,1,0.0,17012.0,0,0
295,1009551370,0,43.12,4,0.0,14207.0,2,1
296,1009551380,1,53.1,1,0.0,16484.0,2,0
297,1009551390,0,56.55,1,0.0,18686.0,1,1
298,1009551400,1,56.95,4,14415.0,56760.0,5,0
299,1009551410,1,39.61,1,0.0,20371.0,3,0
300,1009551420,0,51.27,1,0.0,19535.0,1,0
301,1009551430,0,42.79,1,0.0,17208.0,3,0
302,1009551440,1,62.4,1,0.0,18135.0,2,0
303,1009551450,1,34.35,1,0.0,18918.0,1,0
304,1009551460,1,69.37,1,0.0,17041.0,2,0
305,1009551470,1,37.34,4,0.0,30218.0,2,0
306,1009551480,0,24.95,4,14130.0,30486.0,5,0
307,1009551490,0,39.39,4,0.0,16891.0,0,1
308,1009551500,0,51.87,1,0.0,21417.0,2,0
309,1009551510,0,47.15,3,94508.0,119759.0,2,0
310,1009551520,0,68.19,1,0.0,24723.0,2,0
311,1009551530,1,55.66,1,0.0,14995.0,5,0
312,1009551540,0,60.67,1,0.0,16909.0,3,1
313,1009551550,1,23.8,1,0.0,15223.0,4,0
314,1009551560,1,55.42,4,0.0,14256.0,1,0
315,1009551570,0,73.85,4,0.0,14828.0,0,1
316,1009551580,0,53.01,4,0.0,26503.0,0,1
317,1009551590,0,48.08,1,0.0,22292.0,3,0
318,1009551600,0,54.1,1,0.0,19627.0,5,0
319,1009551610,0,32.85,4,0.0,20035.0,4,0
320,1009551620,0,36.31,3,71237.0,125812.0,1,1
321,1009551630,0,51.35,4,0.0,15912.0,2,0
322,1009551640,0,65.5,2,6704.0,34434.0,1,0
323,1009551650,0,71.09,1,0.0,13415.0,5,0
324,1009551660,0,76.78,2,91315.0,96663.0,5,0
325,1009551670,1,67.56,4,0.0,15531.0,0,0
326,1009551680,0,24.86,1,0.0,36017.0,4,0
327,1009551690,0,49.89,4,0.0,18978.0,4,0
328,1009551700,1,61.22,4,8755.0,40792.0,2,0
329,1009551710,1,58.42,4,0.0,34354.0,2,0
330,1009551720,1,59.93,2,7382.0,67043.0,1,0
331,1009551730,1,70.29,1,0.0,14083.0,3,0
332,1009551740,0,29.71,1,0.0,32853.0,5,0
333,1009551750,1,42.27,1,0.0,14827.0,4,0
334,1009551760,0,28.04,2,77108.0,126259.0,4,0
335,1009551770,1,34.24,1,0.0,17643.0,5,0
336,1009551780,0,46.85,1,0.0,18151.0,5,0
337,1009551790,0,44.26,4,10060.0,50549.0,1,0
338,1009551800,0,85.89,4,10533.0,25281.0,2,0
339,1009551810,0,38.49,1,0.0,34927.0,2,0
340,1009551820,1,42.0,1,0.0,20627.0,1,0
341,1009551830,1,30.06,4,0.0,20592.0,2,0
342,1009551840,1,43.71,1,0.0,14635.0,2,0
343,1009551850,0,38.44,2,105219.0,99660.0,2,0
344,1009551860,0,39.13,4,0.0,18304.0,2,0
345,1009551870,0,69.66,1,0.0,18748.0,2,1
346,1009551880,1,32.65,1,0.0,14853.0,3,0
347,1009551890,0,68.04,1,0.0,21849.0,4,0
348,1009551900,0,43.4,4,0.0,18149.0,5,1
349,1009551910,0,32.05,1,0.0,29194.0,4,0
350,1009551920,1,50.86,1,0.0,19832.0,1,0
351,1009551930,1,65.23,4,13774.0,61543.0,4,0
352,1009551940,1,30.41,1,0.0,20604.0,5,0
353,1009551950,0,25.05,1,0.0,21391.0,2,1
354,1009551960,0,51.39,1,0.0,18689.0,2,0
355,1009551970,1,31.44,4,5282.0,41393.0,2,1
356,1009551980,0,23.15,4,0.0,20428.0,0,1
357,1009551990,1,62.58,4,0.0,13758.0,4,0
358,1009552000,1,65.64,1,0.0,37410.0,1,1
359,1009552010,0,75.3,4,0.0,15797.0,1,1
360,1009552020,0,59.46,4,13698.0,22019.0,1,0
361,1009552030,0,31.7,2,79156.0,225412.0,1,1
362,1009552040,0,54.6,2,5792.0,36522.0,5,0
363,1009552050,0,47.54,1,0.0,23750.0,0,1
364,1009552060,1,66.24,1,0.0,19117.0,1,0
365,1009552070,0,39.71,1,0.0,19566.0,1,1
366,1009552080,1,54.67,1,0.0,18900.0,2,0
367,1009552090,0,75.84,1,0.0,20698.0,0,0
368,1009552100,0,49.97,2,74235.0,110858.0,1,1
369,1009552110,1,45.33,1,0.0,19402.0,4,0
370,1009552120,1,34.17,1,0.0,15300.0,4,0
371,1009552130,0,45.33,1,0.0,16696.0,4,0
372,1009552140,0,73.24,1,0.0,36576.0,1,1
373,1009552150,0,57.26,1,0.0,18293.0,3,0
374,1009552160,1,55.08,1,0.0,20309.0,3,0
375,1009552170,1,47.49,1,0.0,21713.0,1,0
376,1009552180,1,55.19,1,0.0,23439.0,4,0
377,1009552190,0,48.12,1,0.0,15247.0,2,1
378,1009552200,0,30.81,1,0.0,37023.0,1,1
379,1009552210,1,49.53,1,0.0,14857.0,2,0
380,1009552220,0,41.64,1,0.0,17152.0,3,0
381,1009552230,0,53.9,4,0.0,17152.0,2,0
382,1009552240,1,86.79,1,0.0,21588.0,2,0
383,1009552250,1,50.59,1,0.0,20214.0,0,0
384,1009552260,0,36.74,1,0.0,23292.0,3,0
385,1009552270,0,26.81,1,0.0,23292.0,2,1
386,1009552280,1,50.29,4,0.0,17614.0,1,0
387,1009552290,1,44.1,1,0.0,37371.0,3,0
388,1009552300,1,42.46,4,0.0,22310.0,3,0
389,1009552310,0,57.53,1,0.0,14421.0,1,0
390,1009552320,0,46.6,1,0.0,14869.0,4,0
391,1009552330,1,25.47,1,0.0,16000.0,2,1
392,1009552340,1,70.94,1,0.0,15873.0,2,0
393,1009552350,1,36.47,3,84862.0,149794.0,3,0
394,1009552360,0,27.86,3,71424.0,119010.0,1,1
395,1009552370,1,62.14,1,0.0,18634.0,0,0
396,1009552380,0,20.89,5,104192.0,2010826.0,2,0
397,1009552390,0,56.62,4,12927.0,42402.0,4,0
398,1009552400,1,38.24,2,111506.0,91839.0,2,0
399,1009552410,0,50.81,4,0.0,15652.0,2,0
400,1009552420,0,57.91,1,0.0,18594.0,1,0
401,1009552430,1,33.34,1,0.0,22400.0,4,0
402,1009552440,0,81.97,4,0.0,21978.0,5,0
403,1009552450,0,49.85,1,0.0,18864.0,2,0
404,1009552460,1,33.46,4,0.0,14947.0,4,0
405,1009552470,1,48.67,4,10715.0,41861.0,2,0
406,1009552480,1,40.94,1,0.0,21629.0,1,0
407,1009552490,0,68.13,4,0.0,19175.0,3,0
408,1009552500,1,57.09,1,0.0,19123.0,2,0
409,1009552510,0,48.75,4,0.0,22735.0,1,0
410,1009552520,1,42.8,4,6288.0,21750.0,4,0
411,1009552530,1,48.08,1,0.0,31255.0,2,0
412,1009552540,1,39.72,1,0.0,18849.0,2,0
413,1009552550,1,35.15,1,0.0,37866.0,3,0
414,1009552560,1,47.36,2,88390.0,109150.0,2,0
415,1009552570,1,64.59,4,0.0,18865.0,4,0
416,1009552580,0,62.59,1,0.0,25095.0,1,1
417,1009552590,0,26.67,2,111849.0,170822.0,0,0
418,1009552600,1,31.45,4,0.0,16025.0,5,0
419,1009552610,0,66.11,4,0.0,14460.0,2,0
420,1009552620,1,36.19,1,0.0,22826.0,4,0
421,1009552630,0,23.31,1,0.0,15545.0,1,1
422,1009552640,0,26.33,1,0.0,15545.0,1,0
423,1009552650,0,57.03,1,0.0,15229.0,2,0
424,1009552660,1,60.27,1,0.0,14977.0,4,0
425,1009552670,0,54.3,1,0.0,19245.0,0,0
426,1009552680,0,38.23,3,78510.0,181968.0,4,0
427,1009552690,1,32.27,2,14107.0,54513.0,4,0
428,1009552700,1,39.34,4,7491.0,54513.0,2,0
429,1009552710,1,37.45,1,0.0,21359.0,2,0
430,1009552720,1,33.1,4,0.0,25311.0,5,0
431,1009552730,1,48.34,3,110236.0,97211.0,1,0
432,1009552740,0,21.52,4,0.0,22720.0,5,0
433,1009552750,0,44.46,4,0.0,14327.0,1,1
434,1009552760,0,56.89,1,0.0,16493.0,4,0
435,1009552770,0,39.41,1,0.0,26736.0,0,1
436,1009552780,1,36.78,4,0.0,21002.0,1,0
437,1009552790,0,37.99,4,0.0,22490.0,1,0
438,1009552800,1,52.31,2,98662.0,218504.0,0,0
439,1009552810,1,38.05,4,0.0,17016.0,1,1
440,1009552820,1,58.38,4,6563.0,21570.0,2,0
441,1009552830,0,39.41,1,0.0,20547.0,4,0
442,1009552840,0,26.23,2,9258.0,42644.0,2,0
443,1009552850,1,59.43,1,0.0,14140.0,2,0
444,1009552860,1,70.63,1,0.0,18219.0,3,0
445,1009552870,1,62.33,1,0.0,16341.0,0,1
446,1009552880,1,38.64,2,9554.0,51373.0,0,1
447,1009552890,0,26.21,4,0.0,15503.0,4,0
448,1009552900,1,28.7,4,13331.0,53603.0,5,1
449,1009552910,1,43.82,4,0.0,21951.0,5,0
450,1009552920,1,64.45,1,0.0,20625.0,3,0
451,1009552930,1,40.61,1,0.0,17934.0,5,0
452,1009552940,0,39.56,1,0.0,20576.0,5,0
453,1009552950,1,65.23,4,0.0,24569.0,2,0
454,1009552960,1,72.26,1,0.0,20160.0,5,0
455,1009552970,1,82.01,1,0.0,18881.0,2,0
456,1009552980,0,59.91,1,0.0,32177.0,2,0
457,1009552990,0,31.12,2,10850.0,30826.0,3,1
458,1009553000,1,88.49,1,0.0,15041.0,2,0
459,1009553010,1,62.44,1,0.0,15745.0,2,0
460,1009553020,0,58.29,1,0.0,15005.0,0,1
461,1009553030,1,51.12,4,0.0,22531.0,3,0
462,1009553040,0,51.15,4,0.0,13169.0,4,0
463,1009553050,0,41.92,4,0.0,19705.0,2,0
464,1009553060,1,48.88,1,0.0,15478.0,2,0
465,1009553070,1,66.97,4,13060.0,32603.0,5,0
466,1009553080,0,23.67,1,0.0,37055.0,5,0
467,1009553090,0,45.24,4,0.0,13359.0,0,0
468,1009553100,0,51.35,1,0.0,14326.0,1,1
469,1009553110,0,69.59,1,0.0,13435.0,1,0
470,1009553120,1,35.41,1,0.0,19667.0,2,0
471,1009553130,0,44.88,1,0.0,34086.0,2,0
472,1009553140,1,21.66,1,0.0,13680.0,2,0
473,1009553150,1,64.39,1,0.0,13213.0,2,0
474,1009553160,1,28.64,4,9419.0,49663.0,5,1
475,1009553170,1,66.63,1,0.0,30724.0,4,0
476,1009553180,1,62.89,1,0.0,23420.0,0,1
477,1009553190,1,40.53,1,0.0,13583.0,0,1
478,1009553200,1,42.36,1,0.0,21169.0,3,0
479,1009553210,1,37.3,4,9307.0,65031.0,2,0
480,1009553220,0,71.04,4,0.0,20660.0,2,0
481,1009553230,0,26.21,1,0.0,21022.0,0,1
482,1009553240,0,87.35,1,0.0,16533.0,3,1
483,1009553250,0,55.14,4,0.0,35247.0,3,0
484,1009553260,1,29.76,1,0.0,37755.0,4,0
485,1009553270,0,58.84,4,0.0,14280.0,1,0
486,1009553280,0,39.87,1,0.0,17239.0,2,0
487,1009553290,1,46.75,1,0.0,20204.0,2,0
488,1009553300,0,62.11,2,80448.0,188244.0,5,0
489,1009553310,1,57.34,4,9282.0,61889.0,1,0
